date | value
2011-01-03 | 3
2011-01-03 | 0
2011-01-03 | 1000
2011-01-03 | 1000.0
2011-01-03 | 1.2
2011-01-03 | 0.001
2011-01-03 | -1
2011-01-03 | -0.1
2011-01-03 | 1000.1
2011-01-03 | 2147483648
2011-01-03 | abc
2011-01-03 | 1abc
2011-01-03 | abc1
2011-01-03 | 1.2.3
2011-01-03 | +1
2011-01-03 | 
2011-01-03 |    
2011-01-03 |  3
2011-01-03 | 3 
2011-01-03 |  3 
2011-01-03|-3
2011-01-03| 3
2011-01-03 |3
2011-01-03|3
2011-01-03  | 3
 2011-01-03 | 3
2011-01-03 | 3 | 4
2011-01-03 || 3
2011-01-03
2011-01-03 - 3
2011/01/03 | 3
2011.01.03 | 3
20110103 | 3
2011-1-03 | 3
2011-01-3 | 3
2011-1-3 | 3
2011--03 | 3
2011-01- | 3
-01-03 | 3
2011-00-03 | 3
2011-13-03 | 3
2011-01-00 | 3
2011-01-32 | 3
2011-04-31 | 3
2011-06-31 | 3
2011-09-31 | 3
2011-11-31 | 3
2011-02-29 | 3
2012-02-29 | 3
1900-02-29 | 3
2000-02-29 | 3
2024-02-29 | 3
2023-02-29 | 3
2024-02-30 | 3
2024-04-31 | 3
2024-08-31 | 3
2024-10-31 | 3
2024-12-31 | 3
2001-01-01 | 3
2030-12-31 | 3
9999-12-31 | 3
0000-01-01 | 3
2011-01-03 | 0.000000
2011-01-03 | 999.999
2011-01-03 | 1000.0001
2011-01-03 | nan
2011-01-03 | inf
2011-01-03 | -inf
2011-01-03 | 1e2
2011-01-03 | 1E3
2011-01-03 | 0003
2011-01-03 | 03.0
2011-01-03 | +0
2011-01-03 | --1
2011-01-03 | .
2011-01-03 | ,
2011-01-03 | 1,2
2011-01-03 | 1 2
2011-01-03 | 1. 
2011-01-03 | .5
2011-01-03 | 0.
2011-01-03 | 0000000000000000000000000000000000000000000000001
